Ep,Step,Reward,Total_reward,Action,Epsilon,Done,Termination_Code
1,1,0,0,3,1,0
1,2,-1,-1,1,1,0
1,3,0,-1,2,1,0
1,4,0,-1,1,1,0
1,5,0,-1,2,1,0
1,6,0,-1,3,1,0
1,7,0,-1,2,1,0
1,8,0,-1,1,1,0
1,9,0,-1,5,1,0
1,10,0,-1,3,1,0
1,11,0,-1,4,1,0
1,12,0,-1,0,1,0
1,13,0,-1,2,1,0
1,14,-100,-101,2,1,1
2,1,0,0,3,1,0
2,2,-1,-1,2,1,0
2,3,-1,-2,5,1,0
2,4,-1,-3,5,1,0
2,5,-11,-14,5,1,1
3,1,0,0,1,1,0
3,2,0,0,4,1,0
3,3,0,0,2,1,0
3,4,0,0,0,1,0
3,5,0,0,5,1,0
3,6,-100,-100,2,1,1
4,1,0,0,2,1,0
4,2,-1,-1,3,1,0
4,3,0,-1,2,1,0
4,4,0,-1,4,1,0
4,5,0,-1,0,1,0
4,6,-100,-101,0,1,1
5,1,-1,-1,0,1,0
5,2,-1,-2,1,1,0
5,3,0,-2,1,1,0
5,4,-1,-3,3,1,0
5,5,0,-3,2,1,0
5,6,-10,-13,5,1,1
6,1,-1,-1,5,1,0
6,2,-1,-2,0,1,0
6,3,-1,-3,5,1,0
6,4,0,-3,3,1,0
6,5,-100,-103,0,1,1
7,1,-1,-1,4,1,0
7,2,-1,-2,5,1,0
7,3,0,-2,1,1,0
7,4,0,-2,4,1,0
7,5,0,-2,5,1,0
7,6,0,-2,2,1,0
7,7,0,-2,3,1,0
7,8,0,-2,1,1,0
7,9,0,-2,3,1,0
7,10,0,-2,2,1,0
7,11,0,-2,3,1,0
7,12,0,-2,1,1,0
7,13,0,-2,3,1,0
7,14,0,-2,4,1,0
7,15,0,-2,0,1,0
7,16,0,-2,3,1,0
7,17,0,-2,1,1,0
7,18,0,-2,4,1,0
7,19,0,-2,5,1,0
7,20,0,-2,4,1,0
7,21,-100,-102,3,1,1
8,1,0,0,2,1,0
8,2,-1,-1,3,1,0
8,3,-1,-2,4,1,0
8,4,0,-2,3,1,0
8,5,-1,-3,1,1,0
8,6,0,-3,1,1,0
8,7,0,-3,3,1,0
8,8,0,-3,0,1,0
8,9,-1,-4,2,1,0
8,10,0,-4,0,1,0
8,11,0,-4,5,1,0
8,12,-11,-15,2,1,1
9,1,0,0,1,1,0
9,2,0,0,4,1,0
9,3,-1,-1,3,1,0
9,4,-1,-2,5,1,0
9,5,0,-2,3,1,0
9,6,0,-2,0,1,0
9,7,0,-2,1,1,0
9,8,0,-2,3,1,0
9,9,0,-2,1,1,0
9,10,-10,-12,1,1,1
10,1,0,0,3,1,0
10,2,-1,-1,2,1,0
10,3,0,-1,2,1,0
10,4,-100,-101,2,1,1
11,1,-1,-1,0,1,0
11,2,0,-1,3,1,0
11,3,0,-1,1,1,0
11,4,0,-1,3,1,0
11,5,0,-1,3,1,0
11,6,0,-1,1,1,0
11,7,0,-1,2,1,0
11,8,-1,-2,2,1,0
11,9,0,-2,1,1,0
11,10,0,-2,4,1,0
11,11,0,-2,1,1,0
11,12,0,-2,2,1,0
11,13,0,-2,4,1,0
11,14,0,-2,1,1,0
11,15,0,-2,2,1,0
11,16,0,-2,4,1,0
11,17,-100,-102,2,1,1
12,1,0,0,2,1,0
12,2,-1,-1,3,1,0
12,3,-1,-2,4,1,0
12,4,0,-2,3,1,0
12,5,0,-2,3,1,0
12,6,0,-2,4,1,0
12,7,0,-2,2,1,0
12,8,0,-2,5,1,0
12,9,0,-2,3,1,0
12,10,0,-2,5,1,0
12,11,0,-2,5,1,0
12,12,0,-2,2,1,0
12,13,0,-2,3,1,0
12,14,0,-2,5,1,0
12,15,0,-2,0,1,0
12,16,0,-2,1,1,0
12,17,0,-2,1,1,0
12,18,0,-2,1,1,0
12,19,0,-2,2,1,0
12,20,-10,-12,5,1,1
13,1,0,0,2,1,0
13,2,0,0,1,1,0
13,3,-100,-100,2,1,1
14,1,0,0,1,1,0
14,2,-1,-1,0,1,0
14,3,-1,-2,5,1,0
14,4,0,-2,2,1,0
14,5,0,-2,4,1,0
14,6,-100,-102,2,1,1
15,1,-1,-1,4,1,0
15,2,-1,-2,4,1,0
15,3,-1,-3,5,1,0
15,4,0,-3,2,1,0
15,5,0,-3,0,1,0
15,6,0,-3,4,1,0
15,7,-1,-4,3,1,0
15,8,-1,-5,1,1,0
